Temps (s),Temp 1 (°C),Temp 2 (°C),Temp 3 (°C)
450.0,52.23,46.13,42.53
451.0,52.23,46.13,42.64
452.0,52.09,46.01,42.64
453.0,51.95,46.01,42.75
454.0,51.95,46.01,42.75
455.0,51.67,46.13,42.75
456.0,51.67,46.01,42.75
457.0,51.67,46.01,42.75
458.0,52.09,46.01,42.75
459.0,52.09,46.01,42.75
460.0,51.81,46.01,42.75
461.0,51.95,46.01,42.75
462.0,52.09,46.01,42.75
463.0,51.95,45.89,42.86
464.0,51.95,45.89,42.75
465.0,51.95,46.01,42.75
466.0,52.09,46.01,42.75
467.0,51.95,46.13,42.86
468.0,51.95,46.01,42.86
469.0,51.95,46.13,42.98
470.0,52.09,46.01,43.09
471.0,52.09,46.01,42.98
472.0,52.23,46.01,42.98
473.0,52.37,46.01,42.98
474.0,52.37,46.13,42.98
475.0,52.51,46.13,42.98
476.0,52.51,46.13,42.98
477.0,52.51,46.25,42.98
478.0,52.51,46.13,42.98
479.0,52.51,46.25,42.98
480.0,52.51,46.25,42.98
481.0,52.51,46.13,42.86
482.0,52.37,46.37,42.86
483.0,52.37,46.25,42.86
484.0,52.37,46.25,42.98
485.0,52.23,46.25,42.86
486.0,52.37,46.25,42.86
487.0,52.51,46.25,42.75
488.0,52.51,46.25,42.86
489.0,52.37,46.25,42.86
490.0,52.51,46.13,42.98
491.0,52.51,46.13,42.98
492.0,52.51,46.13,42.98
493.0,52.79,46.13,43.09
494.0,52.65,46.25,43.09
495.0,52.65,46.13,43.09
496.0,52.51,46.25,42.98
497.0,52.51,46.37,43.09
498.0,52.51,46.37,42.98
499.0,52.37,46.37,43.09
500.0,52.51,46.37,43.32
501.0,52.51,46.37,43.09
502.0,52.51,46.37,43.2
503.0,52.65,46.37,43.2
504.0,52.79,46.37,43.32
505.0,52.79,46.37,43.32
506.0,52.65,46.49,43.32
507.0,52.65,46.49,43.32
508.0,52.51,46.37,43.32
509.0,52.51,46.37,43.2
510.0,52.51,46.37,43.32
511.0,52.65,46.49,43.43
512.0,52.79,46.49,43.43
